activation_name,layer,activation_code,activation_idx,moran_i,moran_p_sim
act000000,IT-l15,000000,0,0.25288480403591224,0.001
act000001,IT-l15,000001,1,0.17993904375092812,0.001
act000002,IT-l15,000002,2,0.10626702196315135,0.001
act000003,IT-l15,000003,3,0.18803520438366286,0.001
act000004,IT-l15,000004,4,0.20283306788397534,0.001
act000005,IT-l15,000005,5,0.19970125336936934,0.001
act000006,IT-l15,000006,6,0.25056451650929656,0.001
act000007,IT-l15,000007,7,0.20089257198304009,0.001
act000008,IT-l15,000008,8,0.42034397634032106,0.001
act000009,IT-l15,000009,9,0.21766491823583572,0.001
act000010,IT-l15,000010,10,0.20813883878704423,0.001
act000011,IT-l15,000011,11,0.1396059754719162,0.001
act000012,IT-l15,000012,12,0.18755782604248247,0.001
act000013,IT-l15,000013,13,0.26107211879064324,0.001
act000014,IT-l15,000014,14,0.19589799909934705,0.001
act000015,IT-l15,000015,15,0.15335192856128416,0.001
act000016,IT-l15,000016,16,0.1331571349344434,0.001
act000017,IT-l15,000017,17,0.28584869972547483,0.001
act000018,IT-l15,000018,18,0.15832373866071384,0.001
act000019,IT-l15,000019,19,0.15123432567686565,0.001
act000020,IT-l15,000020,20,0.1339063336507606,0.001
act000021,IT-l15,000021,21,0.17420360645295543,0.001
act000022,IT-l15,000022,22,0.19651976721030828,0.001
act000023,IT-l15,000023,23,0.20874213605557995,0.001
act000024,IT-l15,000024,24,0.18838720945841042,0.001
act000025,IT-l15,000025,25,0.18808394270629458,0.001
act000026,IT-l15,000026,26,0.19617098314078746,0.001
act000027,IT-l15,000027,27,0.18182174065536907,0.001
act000028,IT-l15,000028,28,0.14228180942789698,0.001
act000029,IT-l15,000029,29,0.2891506828947584,0.001
act000030,IT-l15,000030,30,0.23738283113379702,0.001
act000031,IT-l15,000031,31,0.294757121567247,0.001
act000032,IT-l15,000032,32,0.150567566531052,0.001
act000033,IT-l15,000033,33,0.25658330627671866,0.001
act000034,IT-l15,000034,34,0.23683196932395922,0.001
act000035,IT-l15,000035,35,0.21423121879234372,0.001
act000036,IT-l15,000036,36,0.217449108102336,0.001
act000037,IT-l15,000037,37,0.14337809087873116,0.001
act000038,IT-l15,000038,38,0.1721496523752578,0.001
act000039,IT-l15,000039,39,0.1648994118531311,0.001
act000040,IT-l15,000040,40,0.1688938560324874,0.001
act000041,IT-l15,000041,41,0.15968728880274238,0.001
act000042,IT-l15,000042,42,0.1894934611130155,0.001
act000043,IT-l15,000043,43,0.28527361512466387,0.001
act000044,IT-l15,000044,44,0.12115250454210022,0.001
act000045,IT-l15,000045,45,0.1116352302992065,0.001
act000046,IT-l15,000046,46,0.12533234373408464,0.001
act000047,IT-l15,000047,47,0.12785386271540605,0.001
act000048,IT-l15,000048,48,0.29580905205459795,0.001
act000049,IT-l15,000049,49,0.16619196681362547,0.001
act000050,IT-l15,000050,50,0.16685506984885648,0.001
act000051,IT-l15,000051,51,0.15076300899271589,0.001
act000052,IT-l15,000052,52,0.18956547654251088,0.001
act000053,IT-l15,000053,53,0.20532607318957943,0.001
act000054,IT-l15,000054,54,0.18057893541885858,0.001
act000055,IT-l15,000055,55,0.16366820997363266,0.001
act000056,IT-l15,000056,56,0.2023942603737755,0.001
act000057,IT-l15,000057,57,0.24793493293216748,0.001
act000058,IT-l15,000058,58,0.18876419466852584,0.001
act000059,IT-l15,000059,59,0.23501719279262115,0.001
act000060,IT-l15,000060,60,0.2374859817808193,0.001
act000061,IT-l15,000061,61,0.18047250814790858,0.001
act000062,IT-l15,000062,62,0.09903114758732061,0.001
act000063,IT-l15,000063,63,0.12034061489942798,0.001
act000064,IT-l15,000064,64,0.14309150148280592,0.001
act000065,IT-l15,000065,65,0.17554187277430222,0.001
act000066,IT-l15,000066,66,0.15869723845356618,0.001
act000067,IT-l15,000067,67,0.2278374086334594,0.001
act000068,IT-l15,000068,68,0.2263112365640165,0.001
act000069,IT-l15,000069,69,0.2358664408844047,0.001
act000070,IT-l15,000070,70,0.273945837690075,0.001
act000071,IT-l15,000071,71,0.20736749747760377,0.001
act000072,IT-l15,000072,72,0.18609981151980182,0.001
act000073,IT-l15,000073,73,0.2204103494436533,0.001
act000074,IT-l15,000074,74,0.25410540158298395,0.001
act000075,IT-l15,000075,75,0.3395145747537615,0.001
act000076,IT-l15,000076,76,0.4282828612808345,0.001
act000077,IT-l15,000077,77,0.23442273578596448,0.001
act000078,IT-l15,000078,78,0.26556983764008996,0.001
act000079,IT-l15,000079,79,0.15480805632759798,0.001
act000080,IT-l15,000080,80,0.2568048896743081,0.001
act000081,IT-l15,000081,81,0.21555083063662883,0.001
act000082,IT-l15,000082,82,0.1839626465678058,0.001
act000083,IT-l15,000083,83,0.13268201135685567,0.001
act000084,IT-l15,000084,84,0.17059724323065872,0.001
act000085,IT-l15,000085,85,0.21046578955183542,0.001
act000086,IT-l15,000086,86,0.1540612391431638,0.001
act000087,IT-l15,000087,87,0.2060498116564591,0.001
act000088,IT-l15,000088,88,0.17530393983548456,0.001
act000089,IT-l15,000089,89,0.17022771508713766,0.001
act000090,IT-l15,000090,90,0.3134876016747603,0.001
act000091,IT-l15,000091,91,0.20787384064686398,0.001
act000092,IT-l15,000092,92,0.12242341384584046,0.001
act000093,IT-l15,000093,93,0.14667247285376195,0.001
act000094,IT-l15,000094,94,0.26510776775138967,0.001
act000095,IT-l15,000095,95,0.17634308575393104,0.001
act000096,IT-l15,000096,96,0.2279143170302037,0.001
act000097,IT-l15,000097,97,0.16511228866676997,0.001
act000098,IT-l15,000098,98,0.23910063029000242,0.001
act000099,IT-l15,000099,99,0.19358675951414214,0.001
act000100,IT-l15,000100,100,0.16600099131549764,0.001
act000101,IT-l15,000101,101,0.14569314601194394,0.001
act000102,IT-l15,000102,102,0.28670929928697514,0.001
act000103,IT-l15,000103,103,0.2444495616902791,0.001
act000104,IT-l15,000104,104,0.13620407434742746,0.001
act000105,IT-l15,000105,105,0.2808497225412815,0.001
act000106,IT-l15,000106,106,0.22481521056711806,0.001
act000107,IT-l15,000107,107,0.229640223615601,0.001
act000108,IT-l15,000108,108,0.169982668107479,0.001
act000109,IT-l15,000109,109,0.22073813122995053,0.001
act000110,IT-l15,000110,110,0.14177165415543683,0.001
act000111,IT-l15,000111,111,0.17671479364189752,0.001
act000112,IT-l15,000112,112,0.2569233760013319,0.001
act000113,IT-l15,000113,113,0.2867533037893297,0.001
act000114,IT-l15,000114,114,0.20228990627303733,0.001
act000115,IT-l15,000115,115,0.1889231624304969,0.001
act000116,IT-l15,000116,116,0.2800041560483395,0.001
act000117,IT-l15,000117,117,0.14850773543364748,0.001
act000118,IT-l15,000118,118,0.171512105048847,0.001
act000119,IT-l15,000119,119,0.16541776644552042,0.001
act000120,IT-l15,000120,120,0.19874051190044575,0.001
act000121,IT-l15,000121,121,0.1833123587324068,0.001
act000122,IT-l15,000122,122,0.21074981741595467,0.001
act000123,IT-l15,000123,123,0.17192790316464682,0.001
act000124,IT-l15,000124,124,0.24087068341961806,0.001
act000125,IT-l15,000125,125,0.2534705102412467,0.001
act000126,IT-l15,000126,126,0.2165193350991123,0.001
act000127,IT-l15,000127,127,0.17730297575177015,0.001
act000128,IT-l15,000128,128,0.15644290093050206,0.001
act000129,IT-l15,000129,129,0.2859744992294886,0.001
act000130,IT-l15,000130,130,0.15337090158807382,0.001
act000131,IT-l15,000131,131,0.10819826907984748,0.001
act000132,IT-l15,000132,132,0.21702650030887435,0.001
act000133,IT-l15,000133,133,0.19314557522602072,0.001
act000134,IT-l15,000134,134,0.27691611634109586,0.001
act000135,IT-l15,000135,135,0.20529750025819332,0.001
act000136,IT-l15,000136,136,0.22555176535884378,0.001
act000137,IT-l15,000137,137,0.15887453827376885,0.001
act000138,IT-l15,000138,138,0.21085770270835807,0.001
act000139,IT-l15,000139,139,0.11932817232720944,0.001
act000140,IT-l15,000140,140,0.18160446802786623,0.001
act000141,IT-l15,000141,141,0.27662072504412694,0.001
act000142,IT-l15,000142,142,0.28729389697558494,0.001
act000143,IT-l15,000143,143,0.2476340967301717,0.001
act000144,IT-l15,000144,144,0.15715239894495361,0.001
act000145,IT-l15,000145,145,0.2948211203526365,0.001
act000146,IT-l15,000146,146,0.17454450439974545,0.001
act000147,IT-l15,000147,147,0.19172774073503024,0.001
act000148,IT-l15,000148,148,0.17905700871607902,0.001
act000149,IT-l15,000149,149,0.20233438687070449,0.001
act000150,IT-l15,000150,150,0.21071140205286398,0.001
act000151,IT-l15,000151,151,0.18460166053692048,0.001
act000152,IT-l15,000152,152,0.1498031955655694,0.001
act000153,IT-l15,000153,153,0.12810031608406008,0.001
act000154,IT-l15,000154,154,0.312589063496458,0.001
act000155,IT-l15,000155,155,0.18365837361464016,0.001
act000156,IT-l15,000156,156,0.2306564713614103,0.001
act000157,IT-l15,000157,157,0.15787599497663443,0.001
act000158,IT-l15,000158,158,0.21355697014024863,0.001
act000159,IT-l15,000159,159,0.2208553648849959,0.001
act000160,IT-l15,000160,160,0.26298247500246114,0.001
act000161,IT-l15,000161,161,0.2194147942679601,0.001
act000162,IT-l15,000162,162,0.11670760575944024,0.001
act000163,IT-l15,000163,163,0.15306549364001348,0.001
act000164,IT-l15,000164,164,0.20501444825733656,0.001
act000165,IT-l15,000165,165,0.16692424374646728,0.001
act000166,IT-l15,000166,166,0.1358200056693662,0.001
act000167,IT-l15,000167,167,0.18536812316546267,0.001
act000168,IT-l15,000168,168,0.24597163730783383,0.001
act000169,IT-l15,000169,169,0.20990495007786092,0.001
act000170,IT-l15,000170,170,0.15758997212932124,0.001
act000171,IT-l15,000171,171,0.3956638725319524,0.001
act000172,IT-l15,000172,172,0.3219208197883423,0.001
act000173,IT-l15,000173,173,0.21347455032084914,0.001
act000174,IT-l15,000174,174,0.2485717727703607,0.001
act000175,IT-l15,000175,175,0.22567861686283552,0.001
act000176,IT-l15,000176,176,0.25083383562494754,0.001
act000177,IT-l15,000177,177,0.24491859150746398,0.001
act000178,IT-l15,000178,178,0.1977636891756445,0.001
act000179,IT-l15,000179,179,0.18148146467443058,0.001
act000180,IT-l15,000180,180,0.12100824279782452,0.001
act000181,IT-l15,000181,181,0.1562482690750658,0.001
act000182,IT-l15,000182,182,0.2001284291749009,0.001
act000183,IT-l15,000183,183,0.29671000472676573,0.001
act000184,IT-l15,000184,184,0.20446870999905833,0.001
act000185,IT-l15,000185,185,0.2335742265418515,0.001
act000186,IT-l15,000186,186,0.1326657409334137,0.001
act000187,IT-l15,000187,187,0.17187706335188668,0.001
act000188,IT-l15,000188,188,0.10743438852295949,0.001
act000189,IT-l15,000189,189,0.3220902838435628,0.001
act000190,IT-l15,000190,190,0.2312328228432419,0.001
act000191,IT-l15,000191,191,0.1695342487824907,0.001
act000192,IT-l15,000192,192,0.1419978853747999,0.001
act000193,IT-l15,000193,193,0.1735794103013769,0.001
act000194,IT-l15,000194,194,0.29588053211061277,0.001
act000195,IT-l15,000195,195,0.11671032350904416,0.001
act000196,IT-l15,000196,196,0.22443616419218437,0.001
act000197,IT-l15,000197,197,0.2139876153873433,0.001
act000198,IT-l15,000198,198,0.1956491585746701,0.001
act000199,IT-l15,000199,199,0.28612161797805447,0.001
act000200,IT-l15,000200,200,0.18411333161391147,0.001
act000201,IT-l15,000201,201,0.23437291619877793,0.001
act000202,IT-l15,000202,202,0.18492881600098546,0.001
act000203,IT-l15,000203,203,0.15942938330299314,0.001
act000204,IT-l15,000204,204,0.12383939185584703,0.001
act000205,IT-l15,000205,205,0.23017451010755716,0.001
act000206,IT-l15,000206,206,0.31768820379050106,0.001
act000207,IT-l15,000207,207,0.2685849661239605,0.001
act000208,IT-l15,000208,208,0.2817610010168561,0.001
act000209,IT-l15,000209,209,0.12906238032862394,0.001
act000210,IT-l15,000210,210,0.16293283682267753,0.001
act000211,IT-l15,000211,211,0.2649604497744723,0.001
act000212,IT-l15,000212,212,0.19501734982602756,0.001
act000213,IT-l15,000213,213,0.1707530039933572,0.001
act000214,IT-l15,000214,214,0.28236360941043415,0.001
act000215,IT-l15,000215,215,0.13849675897086955,0.001
act000216,IT-l15,000216,216,0.14312227156708196,0.001
act000217,IT-l15,000217,217,0.24511896479382217,0.001
act000218,IT-l15,000218,218,0.1966520903743973,0.001
act000219,IT-l15,000219,219,0.27462922014808533,0.001
act000220,IT-l15,000220,220,0.16343596473244335,0.001
act000221,IT-l15,000221,221,0.14304866630664045,0.001
act000222,IT-l15,000222,222,0.18933042629468982,0.001
act000223,IT-l15,000223,223,0.2136597876646677,0.001
act000224,IT-l15,000224,224,0.14086723774596185,0.001
act000225,IT-l15,000225,225,0.22783802864064973,0.001
act000226,IT-l15,000226,226,0.2341180524442095,0.001
act000227,IT-l15,000227,227,0.16353002871607572,0.001
act000228,IT-l15,000228,228,0.17552042779439067,0.001
act000229,IT-l15,000229,229,0.3119845729139788,0.001
act000230,IT-l15,000230,230,0.0946293474352273,0.001
act000231,IT-l15,000231,231,0.2323334721366908,0.001
act000232,IT-l15,000232,232,0.20964927369049383,0.001
act000233,IT-l15,000233,233,0.18308702116484443,0.001
act000234,IT-l15,000234,234,0.18710765736798496,0.001
act000235,IT-l15,000235,235,0.16054442121258475,0.001
act000236,IT-l15,000236,236,0.15518553705659813,0.001
act000237,IT-l15,000237,237,0.15274904970658354,0.001
act000238,IT-l15,000238,238,0.1972807427544403,0.001
act000239,IT-l15,000239,239,0.21359001045219878,0.001
act000240,IT-l15,000240,240,0.3384239814178385,0.001
act000241,IT-l15,000241,241,0.23528125301669583,0.001
act000242,IT-l15,000242,242,0.2433501695224017,0.001
act000243,IT-l15,000243,243,0.17145714930938372,0.001
act000244,IT-l15,000244,244,0.20373804300720788,0.001
act000245,IT-l15,000245,245,0.16244583361945938,0.001
act000246,IT-l15,000246,246,0.24949671060352976,0.001
act000247,IT-l15,000247,247,0.17488787470855358,0.001
act000248,IT-l15,000248,248,0.27443845959163393,0.001
act000249,IT-l15,000249,249,0.3132043676389501,0.001
act000250,IT-l15,000250,250,0.16230333892190002,0.001
act000251,IT-l15,000251,251,0.2108945934515265,0.001
act000252,IT-l15,000252,252,0.2446454293582516,0.001
act000253,IT-l15,000253,253,0.1421337448906653,0.001
act000254,IT-l15,000254,254,0.27287099986606633,0.001
act000255,IT-l15,000255,255,0.22465043697253267,0.001
act000256,IT-l15,000256,256,0.1533617537740003,0.001
act000257,IT-l15,000257,257,0.16191229305406835,0.001
act000258,IT-l15,000258,258,0.30356559657090726,0.001
act000259,IT-l15,000259,259,0.14647135564086528,0.001
act000260,IT-l15,000260,260,0.19206324893269822,0.001
act000261,IT-l15,000261,261,0.20248863561067257,0.001
act000262,IT-l15,000262,262,0.19310916155263588,0.001
act000263,IT-l15,000263,263,0.2862545269806481,0.001
act000264,IT-l15,000264,264,0.21787051235355942,0.001
act000265,IT-l15,000265,265,0.2046875679564019,0.001
act000266,IT-l15,000266,266,0.15769136339289225,0.001
act000267,IT-l15,000267,267,0.2638566164264046,0.001
act000268,IT-l15,000268,268,0.20194260795557026,0.001
act000269,IT-l15,000269,269,0.14417667651009755,0.001
act000270,IT-l15,000270,270,0.3168721757803303,0.001
