layer,sae_feat_name,sae_feat_code,sae_feat_idx,moran_i,moran_p_sim
IT-l15,saef000441,000441,441,0.07445220715325325,0.001
IT-l15,saef000480,000480,480,0.19050478741998383,0.001
IT-l15,saef001131,001131,1131,0.11962993527209675,0.001
IT-l15,saef001356,001356,1356,0.11919418565421247,0.001
IT-l15,saef001473,001473,1473,0.8316089120977255,0.001
IT-l15,saef001595,001595,1595,0.06979121435935144,0.001
IT-l15,saef001761,001761,1761,0.10036981052398414,0.001
IT-l15,saef002034,002034,2034,0.06957338457051328,0.001
IT-l15,saef002053,002053,2053,0.3893876472041223,0.001
IT-l15,saef002056,002056,2056,0.25318776111188,0.001
IT-l15,saef002182,002182,2182,0.07187631461861212,0.001
IT-l15,saef002257,002257,2257,0.35153779389468676,0.001
IT-l15,saef002394,002394,2394,0.44559050477872914,0.001
IT-l15,saef002510,002510,2510,0.1027158737191886,0.001
IT-l15,saef002551,002551,2551,0.25487953711738276,0.001
IT-l15,saef002568,002568,2568,0.1347004528583975,0.001
IT-l15,saef002727,002727,2727,0.41258401056137756,0.001
IT-l15,saef002735,002735,2735,0.14939371858397515,0.001
IT-l15,saef002816,002816,2816,0.08493152075101901,0.001
IT-l15,saef002869,002869,2869,0.3030510176705949,0.001
IT-l15,saef002986,002986,2986,0.3336564591825932,0.001
IT-l15,saef003071,003071,3071,0.4055188470308643,0.001
IT-l15,saef003565,003565,3565,0.14167104376450532,0.001
IT-l15,saef003898,003898,3898,0.07003636268705693,0.001
IT-l15,saef004226,004226,4226,0.018201501715629627,0.001
IT-l15,saef004370,004370,4370,0.5335006477612942,0.001
IT-l15,saef005114,005114,5114,0.286450540501361,0.001
IT-l15,saef005280,005280,5280,0.4003191270806533,0.001
IT-l15,saef005281,005281,5281,0.2708629517804843,0.001
IT-l15,saef005284,005284,5284,0.47136992102990394,0.001
IT-l15,saef005379,005379,5379,0.42643595522264843,0.001
IT-l15,saef005904,005904,5904,0.2735318420320724,0.001
IT-l15,saef006159,006159,6159,0.13318059087035675,0.001
IT-l15,saef006239,006239,6239,0.23110359067013184,0.001
IT-l15,saef006334,006334,6334,0.4367349360143655,0.001
IT-l15,saef006470,006470,6470,0.22506865919597413,0.001
IT-l15,saef006639,006639,6639,0.07669570885423124,0.001
IT-l15,saef006878,006878,6878,-0.00011297452230370099,0.372
IT-l15,saef007219,007219,7219,0.14495568210430823,0.001
IT-l15,saef007775,007775,7775,0.2367391940560097,0.001
IT-l15,saef008327,008327,8327,0.304189244219615,0.001
IT-l15,saef009129,009129,9129,0.1425145846939987,0.001
IT-l15,saef009139,009139,9139,0.35718729581758807,0.001
IT-l15,saef009155,009155,9155,0.18749830564779474,0.001
IT-l15,saef009168,009168,9168,0.12853802711905485,0.001
IT-l15,saef009628,009628,9628,0.4250812176560618,0.001
IT-l15,saef010111,010111,10111,0.13412762711332038,0.001
IT-l15,saef011031,011031,11031,0.4406466107174566,0.001
IT-l15,saef011155,011155,11155,0.16937825982392327,0.001
IT-l15,saef011408,011408,11408,0.4025491864846423,0.001
IT-l15,saef011580,011580,11580,0.0700630478937539,0.001
IT-l15,saef011829,011829,11829,0.09971656684526704,0.001
IT-l15,saef011862,011862,11862,0.07330237972503995,0.001
IT-l15,saef011972,011972,11972,0.19167654357526367,0.001
IT-l15,saef012090,012090,12090,0.27483309285992563,0.001
IT-l15,saef012172,012172,12172,0.38741452123932907,0.001
IT-l15,saef012186,012186,12186,0.4622125805792134,0.001
IT-l15,saef012669,012669,12669,0.7434665453697998,0.001
IT-l15,saef012941,012941,12941,0.17355209363455362,0.001
IT-l15,saef012994,012994,12994,0.08572151875295614,0.001
IT-l15,saef013945,013945,13945,0.15835640715886645,0.001
IT-l15,saef014143,014143,14143,0.1681914835974061,0.001
IT-l15,saef014275,014275,14275,0.48267851889288593,0.001
IT-l15,saef014344,014344,14344,0.20116907385347974,0.001
IT-l15,saef014418,014418,14418,0.07535200363842383,0.001
IT-l15,saef014965,014965,14965,0.08445710284036634,0.001
IT-l15,saef015566,015566,15566,0.07369502072410056,0.001
IT-l15,saef015686,015686,15686,0.22467986480710062,0.001
IT-l15,saef015928,015928,15928,0.053532846145460236,0.001
IT-l15,saef016579,016579,16579,0.30156929503610463,0.001
IT-l15,saef016665,016665,16665,0.09949084465754585,0.001
IT-l15,saef016695,016695,16695,0.1823251280944444,0.001
IT-l15,saef016894,016894,16894,0.5490712925412327,0.001
IT-l15,saef017201,017201,17201,0.4373115948553429,0.001
IT-l15,saef017210,017210,17210,0.37885552997393135,0.001
IT-l15,saef017550,017550,17550,0.14390576238920855,0.001
IT-l15,saef017587,017587,17587,0.13432671719860367,0.001
IT-l15,saef017835,017835,17835,0.11857567105486376,0.001
IT-l15,saef017940,017940,17940,0.029253257405727526,0.001
IT-l15,saef018037,018037,18037,0.15964748085532918,0.001
IT-l15,saef018120,018120,18120,0.06418790984912928,0.001
IT-l15,saef018131,018131,18131,0.15146465306828547,0.001
IT-l15,saef018194,018194,18194,0.5394844686358177,0.001
IT-l15,saef018518,018518,18518,0.21364112909758895,0.001
IT-l15,saef018644,018644,18644,0.24373697714763634,0.001
IT-l15,saef018926,018926,18926,0.2326627421358845,0.001
IT-l15,saef019334,019334,19334,0.17815429212110914,0.001
IT-l15,saef019677,019677,19677,0.2039908724043775,0.001
IT-l15,saef020150,020150,20150,0.6380402207352255,0.001
IT-l15,saef020786,020786,20786,0.5896776005824227,0.001
IT-l15,saef021123,021123,21123,0.05461402502034415,0.001
IT-l15,saef021180,021180,21180,0.12984765549971636,0.001
IT-l15,saef021464,021464,21464,0.2998024814111199,0.001
IT-l15,saef021517,021517,21517,0.7479704087721667,0.001
IT-l15,saef021671,021671,21671,0.1588565337126805,0.001
IT-l15,saef021931,021931,21931,0.17917196329428375,0.001
IT-l15,saef021972,021972,21972,0.09690856340714696,0.001
IT-l15,saef022581,022581,22581,0.18217706356111435,0.001
IT-l15,saef022586,022586,22586,0.12128653381716474,0.001
IT-l15,saef022598,022598,22598,0.14965050711640532,0.001
IT-l15,saef022753,022753,22753,0.5079261302248218,0.001
IT-l15,saef022868,022868,22868,0.1023843956668248,0.001
IT-l15,saef022996,022996,22996,0.03245378866470612,0.001
IT-l15,saef023478,023478,23478,0.11464832442605087,0.001
IT-l15,saef023501,023501,23501,0.07070687619376913,0.001
IT-l15,saef023828,023828,23828,0.03775233229833285,0.001
IT-l15,saef023866,023866,23866,0.8568378577497087,0.001
IT-l15,saef024343,024343,24343,0.051404979405118005,0.001
IT-l15,saef024477,024477,24477,0.5122730488499873,0.001
