activation_name,layer,activation_code,activation_idx,moran_i,moran_p_sim
act000000,NYmetro-l15,000000,0,0.16178722926957242,0.001
act000001,NYmetro-l15,000001,1,0.03024251373710414,0.001
act000002,NYmetro-l15,000002,2,0.1404403528835638,0.001
act000003,NYmetro-l15,000003,3,0.08398919914250927,0.001
act000004,NYmetro-l15,000004,4,0.17646756564238647,0.001
act000005,NYmetro-l15,000005,5,0.22047793716659486,0.001
act000006,NYmetro-l15,000006,6,0.14599815866701943,0.001
act000007,NYmetro-l15,000007,7,0.15829749263895693,0.001
act000008,NYmetro-l15,000008,8,0.23953224250653746,0.001
act000009,NYmetro-l15,000009,9,0.18338469987042755,0.001
act000010,NYmetro-l15,000010,10,0.15200131064544783,0.001
act000011,NYmetro-l15,000011,11,0.12334702876253581,0.001
act000012,NYmetro-l15,000012,12,0.17149721362712686,0.001
act000013,NYmetro-l15,000013,13,0.2720398053556147,0.001
act000014,NYmetro-l15,000014,14,0.10741325283045797,0.001
act000015,NYmetro-l15,000015,15,0.23410155135846364,0.001
act000016,NYmetro-l15,000016,16,0.16277237964642358,0.001
act000017,NYmetro-l15,000017,17,0.10706961313091648,0.001
act000018,NYmetro-l15,000018,18,0.19569395059559683,0.001
act000019,NYmetro-l15,000019,19,0.06928736757586076,0.001
act000020,NYmetro-l15,000020,20,0.09591776758286251,0.001
act000021,NYmetro-l15,000021,21,0.1603858052650428,0.001
act000022,NYmetro-l15,000022,22,0.12237445904605038,0.001
act000023,NYmetro-l15,000023,23,0.2727352897652955,0.001
act000024,NYmetro-l15,000024,24,0.08229434658890807,0.001
act000025,NYmetro-l15,000025,25,0.15975174468565426,0.001
act000026,NYmetro-l15,000026,26,0.1192650109552356,0.001
act000027,NYmetro-l15,000027,27,0.09399446426627772,0.001
act000028,NYmetro-l15,000028,28,0.17652832955927178,0.001
act000029,NYmetro-l15,000029,29,0.30521397341917944,0.001
act000030,NYmetro-l15,000030,30,0.12420028915098517,0.001
act000031,NYmetro-l15,000031,31,0.16536249977528028,0.001
act000032,NYmetro-l15,000032,32,0.0653431669973764,0.001
act000033,NYmetro-l15,000033,33,0.16100505645961735,0.001
act000034,NYmetro-l15,000034,34,0.13410870628115448,0.001
act000035,NYmetro-l15,000035,35,0.12521362650296577,0.001
act000036,NYmetro-l15,000036,36,0.12388108344529926,0.001
act000037,NYmetro-l15,000037,37,0.09816435732028075,0.001
act000038,NYmetro-l15,000038,38,0.12837942841195607,0.001
act000039,NYmetro-l15,000039,39,0.06389520716385076,0.001
act000040,NYmetro-l15,000040,40,0.13153460585545412,0.001
act000041,NYmetro-l15,000041,41,0.21757888301500775,0.001
act000042,NYmetro-l15,000042,42,0.045794447556326064,0.001
act000043,NYmetro-l15,000043,43,0.04109785919471923,0.001
act000044,NYmetro-l15,000044,44,0.06873681806353536,0.001
act000045,NYmetro-l15,000045,45,0.15476211132959847,0.001
act000046,NYmetro-l15,000046,46,0.0975805926431923,0.001
act000047,NYmetro-l15,000047,47,0.12815336258788626,0.001
act000048,NYmetro-l15,000048,48,0.1824678574038598,0.001
act000049,NYmetro-l15,000049,49,0.09018345873575807,0.001
act000050,NYmetro-l15,000050,50,0.27429150584931083,0.001
act000051,NYmetro-l15,000051,51,0.08226885787692313,0.001
act000052,NYmetro-l15,000052,52,0.2205978791982708,0.001
act000053,NYmetro-l15,000053,53,0.046409595433003215,0.001
act000054,NYmetro-l15,000054,54,0.21087581961645627,0.001
act000055,NYmetro-l15,000055,55,0.15156647397842535,0.001
act000056,NYmetro-l15,000056,56,0.07927571179201122,0.001
act000057,NYmetro-l15,000057,57,0.13930036581960334,0.001
act000058,NYmetro-l15,000058,58,0.19693591237563707,0.001
act000059,NYmetro-l15,000059,59,0.09185334451558501,0.001
act000060,NYmetro-l15,000060,60,0.14653436431620634,0.001
