layer,sae_feat_name,sae_feat_code,sae_feat_idx,moran_i,moran_p_sim
GB-l15,saef000441,000441,441,0.025199277672663018,0.001
GB-l15,saef000480,000480,480,0.622258489570036,0.001
GB-l15,saef001131,001131,1131,0.07058876610853111,0.001
GB-l15,saef001356,001356,1356,0.07750544174145754,0.001
GB-l15,saef001473,001473,1473,0.4099477823098253,0.001
GB-l15,saef001595,001595,1595,0.04277446966812111,0.001
GB-l15,saef001761,001761,1761,0.07414414181248967,0.001
GB-l15,saef002034,002034,2034,0.06790071583860985,0.001
GB-l15,saef002053,002053,2053,0.025350971652776517,0.001
GB-l15,saef002056,002056,2056,0.007984691051481113,0.1
GB-l15,saef002182,002182,2182,0.13724329886841677,0.001
GB-l15,saef002257,002257,2257,0.7060507751801436,0.001
GB-l15,saef002394,002394,2394,0.369365351747565,0.001
GB-l15,saef002510,002510,2510,0.029936907631041385,0.001
GB-l15,saef002551,002551,2551,0.0409762950553326,0.001
GB-l15,saef002568,002568,2568,0.1099758459257437,0.001
GB-l15,saef002727,002727,2727,0.36631748080372706,0.001
GB-l15,saef002735,002735,2735,0.011041225055939626,0.04
GB-l15,saef002816,002816,2816,0.036036185467858424,0.001
GB-l15,saef002869,002869,2869,0.05928029213368689,0.001
GB-l15,saef002986,002986,2986,0.07962586075463703,0.001
GB-l15,saef003071,003071,3071,0.018740297206692146,0.002
GB-l15,saef003565,003565,3565,0.0620986166452954,0.001
GB-l15,saef003898,003898,3898,0.11988543157997328,0.001
GB-l15,saef004226,004226,4226,0.030348198813243094,0.001
GB-l15,saef004370,004370,4370,0.0748554988164039,0.001
GB-l15,saef005114,005114,5114,0.378942021995771,0.001
GB-l15,saef005280,005280,5280,0.04216038649179482,0.001
GB-l15,saef005281,005281,5281,0.13919974635446122,0.001
GB-l15,saef005284,005284,5284,0.05801628390938129,0.001
GB-l15,saef005379,005379,5379,0.4344396759410804,0.001
GB-l15,saef005904,005904,5904,0.12639609333491386,0.001
GB-l15,saef006159,006159,6159,0.07748294454001182,0.001
GB-l15,saef006239,006239,6239,0.5815206726374895,0.001
GB-l15,saef006334,006334,6334,0.5385478655545758,0.001
GB-l15,saef006470,006470,6470,0.2025055518318001,0.001
GB-l15,saef006639,006639,6639,0.0843701146259716,0.001
GB-l15,saef007219,007219,7219,0.0713391977752293,0.001
GB-l15,saef007775,007775,7775,0.03798032939025797,0.001
GB-l15,saef008327,008327,8327,0.001367500110997568,0.413
GB-l15,saef009129,009129,9129,0.09046644840746301,0.001
GB-l15,saef009139,009139,9139,0.038451810150424766,0.001
GB-l15,saef009155,009155,9155,0.23666794183365616,0.001
GB-l15,saef009168,009168,9168,0.054277349412677485,0.001
GB-l15,saef009628,009628,9628,0.4784524277888332,0.001
GB-l15,saef010111,010111,10111,0.07112225927795796,0.001
GB-l15,saef011031,011031,11031,0.031022608437424035,0.001
GB-l15,saef011155,011155,11155,0.023593424065321788,0.001
GB-l15,saef011408,011408,11408,0.01567282744847445,0.007
GB-l15,saef011580,011580,11580,0.169538096738672,0.001
GB-l15,saef011829,011829,11829,0.8943464917012675,0.001
GB-l15,saef011862,011862,11862,0.028547859543615044,0.001
GB-l15,saef011972,011972,11972,0.5303282872729306,0.001
GB-l15,saef012090,012090,12090,0.035569946772303324,0.001
GB-l15,saef012172,012172,12172,0.05646548571201712,0.001
GB-l15,saef012186,012186,12186,0.009362059860707848,0.05
GB-l15,saef012669,012669,12669,0.3417384584217668,0.001
GB-l15,saef012941,012941,12941,0.11262914634348375,0.001
GB-l15,saef012994,012994,12994,0.08727014461782459,0.001
GB-l15,saef013945,013945,13945,0.04792439991003098,0.001
GB-l15,saef014143,014143,14143,0.15094464727741236,0.001
GB-l15,saef014275,014275,14275,0.3756936941121244,0.001
GB-l15,saef014344,014344,14344,0.052391658474009624,0.001
GB-l15,saef014418,014418,14418,0.025578515085547388,0.001
GB-l15,saef014965,014965,14965,0.06803691102762931,0.001
GB-l15,saef015566,015566,15566,0.19988343157590915,0.001
GB-l15,saef015686,015686,15686,0.409279829783339,0.001
GB-l15,saef015928,015928,15928,0.0077722946743982585,0.093
GB-l15,saef016579,016579,16579,0.32319515600341714,0.001
GB-l15,saef016665,016665,16665,0.05326380636753051,0.001
GB-l15,saef016695,016695,16695,0.05195476946853393,0.001
